Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
372070,Hekla,12707,Confirmed Eruption,Vatnafjöll (Tröllaskógahraun),,,,-2950,500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
370010,Snaefellsjokull,12473,Confirmed Eruption,SE flank (Dagverdarahraun),0,,,-2970,300,0,,0,,Radiocarbon (uncorrected),,,,,,,,64.8,-23.783
373080,Krafla,12933,Confirmed Eruption,Hvannstód,0,,?,-3050,,0,,0,,Radiocarbon (uncorrected),,,,,,,,65.715,-16.728
372030,Katla,12608,Confirmed Eruption,,,,?,-3180,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371050,Hengill,12525,Confirmed Eruption,"Leitahraun, Ellidaárhraun",0,,?,-3250,,0,,0,,Radiocarbon (corrected),,,,,,,,64.083,-21.416
372030,Katla,12607,Confirmed Eruption,,,,?,-3280,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371070,Prestahnukur,12542,Confirmed Eruption,Sköflungur,0,,?,-3350,,0,,0,,Tephrochronology,,,,,,,,64.583,-20.666
372070,Hekla,12706,Confirmed Eruption,"Raudkollar, Vatnafjöll (Grafellshraun)",,,,-3350,2500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372030,Katla,12606,Confirmed Eruption,,,,?,-3370,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12605,Confirmed Eruption,,,,?,-3390,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372070,Hekla,12705,Confirmed Eruption,Vatnafjöll,,,,-3450,1500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372030,Katla,12604,Confirmed Eruption,,,,?,-3480,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371060,Grimsnes,12539,Confirmed Eruption,Kalfsholar,2,?,?,-3500,,0,,0,,Tephrochronology,,,,,,,,64.05,-20.883
372030,Katla,12603,Confirmed Eruption,,,,?,-3510,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371080,Oddnyjarhnjukur-Langjokull,12545,Confirmed Eruption,Strytuhraun,0,,?,-3550,,0,,0,,Tephrochronology,,,,,,,,64.85,-19.7
373010,Grimsvotn,12757,Confirmed Eruption,S of Thordarhyrna (Bergvatnsarhraun),0,,,-3550,500,0,,0,,Tephrochronology,,,,,,,,64.416,-17.316
372030,Katla,12602,Confirmed Eruption,,,,?,-3640,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371060,Grimsnes,12538,Confirmed Eruption,Borgarholar,0,,?,-3650,,0,,0,,Tephrochronology,,,,,,,,64.05,-20.883
372030,Katla,12601,Confirmed Eruption,,,,?,-3670,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12600,Confirmed Eruption,,,,?,-3720,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371050,Hengill,12524,Confirmed Eruption,Hagavikurhraun,2,,?,-3750,,0,,0,,Radiocarbon (corrected),,,,,,,,64.083,-21.416
371060,Grimsnes,12537,Confirmed Eruption,Raudholar,0,,?,-3750,,0,,0,,Tephrochronology,,,,,,,,64.05,-20.883
372070,Hekla,12704,Confirmed Eruption,Vatnafjöll,,,,-3750,1500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372030,Katla,12599,Confirmed Eruption,,,,?,-3790,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371020,Reykjanes,12487,Confirmed Eruption,Reykjaneshryggur,,,,-3800,300,0,,0,,Tephrochronology,,,,,,,,63.817,-22.717
372030,Katla,12598,Confirmed Eruption,,,,?,-3810,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371060,Grimsnes,12536,Confirmed Eruption,Kolgrafarholl,0,,?,-3900,,0,,0,,Tephrochronology,,,,,,,,64.05,-20.883
372030,Katla,12597,Confirmed Eruption,,,,?,-3930,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372010,Vestmannaeyjar,12554,Confirmed Eruption,Heimaey (Helgafell),,,,-3950,300,0,,0,,Uranium-series,,,,,,,,63.416,-20.266
372070,Hekla,12703,Confirmed Eruption,"Axarhraun, Vatnafjöll",,,,-3950,500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
371060,Grimsnes,12535,Confirmed Eruption,Alftarholl,2,?,?,-4000,,0,,0,,Tephrochronology,,,,,,,,64.05,-20.883
373070,Fremrinamar,12910,Confirmed Eruption,Kerlingardyngja,0,,?,-4000,,0,,0,,Tephrochronology,,,,,,,,65.416,-16.666
371020,Reykjanes,12486,Confirmed Eruption,Sandfellshaed,0,,?,-4000,,0,,0,,Tephrochronology,,,,,,,,63.817,-22.717
373070,Fremrinamar,12909,Confirmed Eruption,Sveinar (Rauduborgir) fissure,,,,-4050,1050,0,,0,,Tephrochronology,,,,,,,,65.416,-16.666
371060,Grimsnes,12534,Confirmed Eruption,Borgaholl,0,,?,-4050,,0,,0,,Tephrochronology,,,,,,,,64.05,-20.883
372070,Hekla,12702,Confirmed Eruption,Baejarhraun,,,,-4050,500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
373082,Heidarspordar,12932,Confirmed Eruption,Ludent crater rows,0,,?,-4050,,0,,0,,Tephrochronology,,,,,,,,65.583,-16.817
370010,Snaefellsjokull,12472,Confirmed Eruption,West flank (Ondverdarnesholar),0,,?,-4050,,0,,0,,Tephrochronology,,,,,,,,64.8,-23.783
372030,Katla,12596,Confirmed Eruption,,,,?,-4060,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372070,Hekla,12701,Confirmed Eruption,,5,?,,-4110,100,0,,0,,Radiocarbon (corrected),,,,,,,,63.983,-19.666
372070,Hekla,12700,Confirmed Eruption,Vatnafjöll (Grasleysisfjallahraun),,,,-4150,2500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
373030,Bardarbunga,12851,Confirmed Eruption,Veidvötn (Sigolduhraun THf),,,?,-4200,,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
372030,Katla,12595,Confirmed Eruption,,,,?,-4210,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12594,Confirmed Eruption,,,,?,-4240,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372070,Hekla,12699,Confirmed Eruption,Knafaholdahraun,,,,-4250,500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
371060,Grimsnes,12533,Confirmed Eruption,Kerholar,3,,,-4270,150,0,,0,,Radiocarbon (uncorrected),,,,,,,,64.05,-20.883
372010,Vestmannaeyjar,12553,Confirmed Eruption,Heimaey (Saefell tuff cone),3,,,-4270,200,0,,0,,Radiocarbon (corrected),,,,,,,,63.416,-20.266
372030,Katla,12593,Confirmed Eruption,,,,?,-4280,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372070,Hekla,12698,Confirmed Eruption,Vatnafjöll (Lambadalshraun),,,,-4350,1500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372030,Katla,12592,Confirmed Eruption,,,,?,-4370,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
373030,Bardarbunga,12850,Confirmed Eruption,Veidvötn (Tungnaárhraun THe),,,?,-4400,,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
372030,Katla,12591,Confirmed Eruption,,,,?,-4430,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371060,Grimsnes,12532,Confirmed Eruption,Selholl North,2,?,?,-4450,,0,,0,,Tephrochronology,,,,,,,,64.05,-20.883
371060,Grimsnes,12531,Confirmed Eruption,Selholl South,0,,?,-4500,,0,,0,,Tephrochronology,,,,,,,,64.05,-20.883
370010,Snaefellsjokull,12471,Confirmed Eruption,East of Snaefellsjökull (Budaklettur),2,,,-4550,1500,0,,0,,Tephrochronology,,,,,,,,64.8,-23.783
372010,Vestmannaeyjar,12552,Confirmed Eruption,Heimaey (Stórhöfdi tuff cone),,,,-4550,500,0,,0,,Tephrochronology,,,,,,,,63.416,-20.266
372070,Hekla,12697,Confirmed Eruption,"Krokahraun, Vatnafjöll",,,,-4550,500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372050,Torfajokull,12683,Confirmed Eruption,N of caldera (Haolduhraun),,,,-4550,500,0,,0,,Tephrochronology,,,,,,,,63.892,-19.122
373010,Grimsvotn,12756,Confirmed Eruption,Laki (Botnahraun),0,,,-4550,500,0,,0,,Tephrochronology,,,,,,,,64.416,-17.316
373030,Bardarbunga,12849,Confirmed Eruption,"Veidivötn (Sigolduhraun, Kalfahraun)",,,?,-4550,,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
373030,Bardarbunga,12848,Confirmed Eruption,Veidvötn (Tungnaárhraun THd),,,?,-4600,,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
