species,genus,y,x
Marmota,sibirica,48.4724,98.0992
Marmota,sibirica,48.3787,93.7898
Marmota,sibirica,47.725882,105.813345
Marmota,sibirica,49.1,121.03333
Marmota,sibirica,47.711928,105.895489
Marmota,sibirica,47.795421,105.938101
Marmota,sibirica,45.803516,92.293396
Marmota,sibirica,48.987318,94.936112
Marmota,sibirica,46.598889,102.718611
Marmota,sibirica,46.67587,91.40179
Marmota,sibirica,45.30331,97.70625
Marmota,sibirica,47.612915,105.955116
Marmota,sibirica,47.86667,109.91667
Marmota,sibirica,45.68175,114.40758
Marmota,sibirica,51.925508,107.61693
Marmota,sibirica,50.3783,90.447313
Marmota,sibirica,50.034,116.53048
